id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
6.0,vm_Tinto,  Tinto,2010,15184398.0,Vinho  Fino De Mesa,Tinto,,,,0.0
4.0,vm_Branco,  Branco,2010,30556943.0,Vinho De Mesa,Branco,3.0,vm_Branco,Branco,35408083.0
3.0,vm_Rosado,  Rosado,2010,2036928.0,Vinho De Mesa,Rosado,4.0,vm_Rosado,Rosado,2569809.0
2.0,vm_Tinto,  Tinto,2010,188649074.0,Vinho De Mesa,Tinto,2.0,vm_Tinto,Tinto,157290088.0
14.0,ve_Branco,  Branco,2010,0.0,Vinho Especial,Branco,,,,0.0
13.0,ve_Rosado,  Rosado,2010,0.0,Vinho Especial,Rosado,,,,0.0
12.0,ve_Tinto,  Tinto,2010,293.0,Vinho Especial,Tinto,,,,0.0
,,,2010,0.0,Vinho Fino De Mesa (Vinifera),Branco,7.0,vv_Branco,Branco,13013027.0
,,,2010,0.0,Vinho Fino De Mesa (Vinifera),Rosado,8.0,vv_Rosado,Rosado,391280.0
,,,2010,0.0,Vinho Fino De Mesa (Vinifera),Tinto,6.0,vv_Tinto,Tinto,11401406.0
,,,2011,0.0,Derivados,Bagaceira,39.0,de_Bagaceira,Bagaceira,0.0
,,,2011,0.0,Derivados,Base Champenoise champanha,20.0,de_Base Champenoise champanha,Base Champenoise champanha,74746.0
,,,2011,0.0,Derivados,Base Charmat champanha,21.0,de_Base Charmat champanha,Base Charmat champanha,865858.0
,,,2011,0.0,Derivados,Base espumante,18.0,de_Base espumante,Base espumante,0.0
,,,2011,0.0,Derivados,Base espumante moscatel,19.0,de_Base espumante moscatel,Base espumante moscatel,2749540.0
,,,2011,0.0,Derivados,Bebida de uva,22.0,de_Bebida de uva,Bebida de uva,0.0
,,,2011,0.0,Derivados,Borra líquida,42.0,de_Borra líquida,Borra líquida,0.0
,,,2011,0.0,Derivados,Borra seca,43.0,de_Borra seca,Borra seca,0.0
,,,2011,0.0,Derivados,Brandy,37.0,de_Brandy,Brandy,0.0
,,,2011,0.0,Derivados,Compostos,31.0,de_Compostos,Compostos,0.0
,,,2011,0.0,Derivados,Destilado,38.0,de_Destilado,Destilado,0.0
,,,2011,0.0,Derivados,Destilado alcoólico simples de bagaceira,48.0,de_Destilado alcoólico simples de bagaceira ,Destilado alcoólico simples de bagaceira ,0.0
,,,2011,0.0,Derivados,Espumante,16.0,de_Espumante,Espumante,26361.0
,,,2011,0.0,Derivados,Espumante moscatel,17.0,de_Espumante moscatel,Espumante moscatel,219100.0
,,,2011,0.0,Derivados,Espumante orgânico,47.0,de_Espumante orgânico,Espumante orgânico,0.0
,,,2011,0.0,Derivados,Filtrado,33.0,de_Filtrado,Filtrado,0.0
,,,2011,0.0,Derivados,Frisante,34.0,de_Frisante,Frisante,1003800.0
,,,2011,0.0,Derivados,Jeropiga,32.0,de_Jeropiga,Jeropiga,0.0
,,,2011,0.0,Derivados,Licor de bagaceira,40.0,de_Licor de bagaceira,Licor de bagaceira,0.0
,,,2011,0.0,Derivados,Licorosos,30.0,de_Licorosos,Licorosos,0.0
,,,2011,0.0,Derivados,Mistelas,28.0,de_Mistelas,Mistelas,0.0
,,,2011,0.0,Derivados,Mosto concentrado,25.0,de_Mosto concentrado,Mosto concentrado,0.0
,,,2011,0.0,Derivados,Mosto de uva com bagaço,26.0,de_Mosto de uva com bagaço,Mosto de uva com bagaço,1037600.0
,,,2011,0.0,Derivados,Mosto dessulfitado,27.0,de_Mosto dessulfitado,Mosto dessulfitado,0.0
,,,2011,0.0,Derivados,Mosto parcialmente fermentado,50.0,de_Mosto parcialmente fermentado ,Mosto parcialmente fermentado ,0.0
,,,2011,0.0,Derivados,Mosto simples,24.0,de_Mosto simples,Mosto simples,77285998.0
,,,2011,0.0,Derivados,Néctar de uva,29.0,de_Néctar de uva,Néctar de uva,0.0
,,,2011,0.0,Derivados,Outros derivados,51.0,de_Outros derivados,Outros derivados,0.0
,,,2011,0.0,Derivados,Pisco,45.0,de_Pisco,Pisco,0.0
,,,2011,0.0,Derivados,Polpa de uva,23.0,de_Polpa de uva,Polpa de uva,2480120.0
,,,2011,0.0,Derivados,Vinagre,41.0,de_Vinagre,Vinagre,0.0
,,,2011,0.0,Derivados,Vinho Composto,44.0,de_Vinho Composto,Vinho Composto,0.0
,,,2011,0.0,Derivados,Vinho acidificado,49.0,de_Vinho acidificado ,Vinho acidificado ,0.0
,,,2011,0.0,Derivados,Vinho leve,35.0,de_Vinho leve,Vinho leve,0.0
,,,2011,0.0,Derivados,Vinho licoroso,36.0,de_Vinho licoroso,Vinho licoroso,0.0
,,,2011,0.0,Derivados,Vinho orgânico,46.0,de_Vinho orgânico,Vinho orgânico,5600.0
17.0,es_Espumante,  Espumante,2011,10308834.0,Espumantes,Espumante,,,,0.0
16.0,es_Espumante_Moscatel,  Espumante  Moscatel,2011,2996441.0,Espumantes,Espumante  Moscatel,,,,0.0
18.0,es_Espumante Orgânico,  Espumante Orgânico,2011,0.0,Espumantes,Espumante Orgânico,,,,0.0
28.0,ou_Agrin,"  Agrin (fermentado, acetico misto)",2011,5997697.0,Outros Produtos Comercializados,"Agrin (fermentado, acetico misto)",,,,0.0
29.0,ou_Aguardente,  Aguardente de vinho 50°gl,2011,0.0,Outros Produtos Comercializados,Aguardente de vinho 50°gl,,,,0.0
30.0,ou_Alcool_vinico,  Alcool vinico,2011,0.0,Outros Produtos Comercializados,Alcool vinico,,,,0.0
31.0,ou_Bagaceira,  Bagaceira (graspa),2011,18111.0,Outros Produtos Comercializados,Bagaceira (graspa),,,,0.0
32.0,ou_Base_champenoise,  Base champenoise champanha,2011,41134.0,Outros Produtos Comercializados,Base champenoise champanha,,,,0.0
33.0,ou_Base_charmat,  Base charmat champanha,2011,66220.0,Outros Produtos Comercializados,Base charmat champanha,,,,0.0
34.0,ou_Base_espumante,  Base espumante moscatel,2011,22162.0,Outros Produtos Comercializados,Base espumante moscatel,,,,0.0
35.0,ou_Bebida,  Bebida de uva,2011,532821.0,Outros Produtos Comercializados,Bebida de uva,,,,0.0
36.0,ou_Borra_liqwuida,  Borra líquida,2011,22016.0,Outros Produtos Comercializados,Borra líquida,,,,0.0
37.0,ou_Borra_seca,  Borra seca,2011,73006.0,Outros Produtos Comercializados,Borra seca,,,,0.0
38.0,ou_Brandy,  Brandy (conhaque),2011,5640.0,Outros Produtos Comercializados,Brandy (conhaque),,,,0.0
39.0,ou_Cooler,  Cooler,2011,4684087.0,Outros Produtos Comercializados,Cooler,,,,0.0
